,model_name,acc,prec,rec,f1sc
19,ConvNN,0.751210213303566,0.7560051458255289,0.7434944542365504,0.7411516060293005
14,ConvNN,0.7489532691240312,0.7342530507794562,0.6690653001009979,0.7239336795568556
12,ConvNN,0.745226019024849,0.743431508071214,0.7387209386813872,0.7320443298072117
3,ConvNN,0.7425855654478073,0.7502943116394049,0.739959251868392,0.7306716626570566
11,ConvNN,0.7416208940744401,0.7259925131448833,0.7181065220633791,0.7103782130544539
7,ConvNN,0.7415545839071274,0.7437325753755183,0.7357551524822652,0.727280121051445
6,ConvNN,0.7386888450384139,0.7422322884083228,0.7303219169191703,0.7232376444085133
10,ConvNN,0.7335595363378525,0.7463672900684255,0.7260823308964942,0.7214807519245803
0,ConvNN,0.7330754488706589,0.7457027545507968,0.7306130698968178,0.7235830030044867
4,ConvNN,0.732186027765274,0.7285772258360609,0.6431722269750986,0.709754393253595
17,ConvNN,0.7310330098867416,0.7487402278059863,0.7353299832501012,0.7241366160855529
2,ConvNN,0.7304670482873916,0.7395848125929483,0.7288401599186873,0.7214052947817968
1,ConvNN,0.72943339407444,0.7436017460333924,0.7252036012348603,0.7186762739729857
15,ConvNN,0.7290456461906433,0.7300984283138372,0.7163394886518436,0.7144811123728558
8,ConvNN,0.7283002728223801,0.7359151710395155,0.7240070676414455,0.718015727117701
18,ConvNN,0.7263506692647934,0.7251414274838823,0.7189015403288188,0.7032143183159689
13,ConvNN,0.7258906215429306,0.6503086381525456,0.7200424526487654,0.711390847442666
16,ConvNN,0.7219485014677047,0.743024249854094,0.7255460149754773,0.7162051533163323
9,ConvNN,0.7150946801900864,0.6406929598309354,0.7109881002399698,0.6993374868384477
5,ConvNN,0.7149468618631363,0.726890550990245,0.6531567886972387,0.7020953871282447
