,model_name,acc,prec,rec,f1sc
16,ConvLSTM,0.7294296199083328,0.6827403722368499,0.71650331167652,0.7003565301542953
13,ConvLSTM,0.7252896600961685,0.7379677010551977,0.72152573174492,0.7098188509598164
6,ConvLSTM,0.7234900897741319,0.7196026712354127,0.7362006235412071,0.7123376050718554
19,ConvLSTM,0.7167762720584869,0.7244770363950063,0.7279721076988279,0.7092270709659421
3,ConvLSTM,0.7141838920116423,0.7286388608575349,0.7246557710685991,0.7067359631554696
7,ConvLSTM,0.7136550450325012,0.7222316448274362,0.7118272436464044,0.7052777967868769
15,ConvLSTM,0.7130093234777451,0.7250501300788217,0.7213318788357492,0.7082415467299644
12,ConvLSTM,0.7054846382141113,0.7136549045750191,0.7103215358833203,0.6963134397513967
0,ConvLSTM,0.7050615268945695,0.7143226613314468,0.7034740366163964,0.6936987584994574
8,ConvLSTM,0.7034473556280136,0.721970420874797,0.7160648531004465,0.6967490071644269
18,ConvLSTM,0.7032256692647934,0.6284714294952091,0.6940094528516174,0.6784656789557273
1,ConvLSTM,0.6987384897470473,0.7121528642771282,0.7081704502612988,0.6934829835943339
2,ConvLSTM,0.6980690068006515,0.7062743944830401,0.7009216334759871,0.68718521568054
14,ConvLSTM,0.6974557930231094,0.7145314677860861,0.7016771589531383,0.6897268161582858
5,ConvLSTM,0.6938351052999497,0.7054659502396503,0.705883491263695,0.6835021299339605
9,ConvLSTM,0.6935285902023315,0.7180905772017514,0.7037242480613983,0.6834543089112037
4,ConvLSTM,0.6935012364387512,0.6980037422222003,0.6840042257164234,0.6737548141882915
17,ConvLSTM,0.6920680475234986,0.70289822972875,0.6835298902968691,0.6689130768435453
11,ConvLSTM,0.690085102915764,0.6900585734957758,0.6368941239580941,0.6698829814635369
10,ConvLSTM,0.6794741022586823,0.6613552575210735,0.6600054035846614,0.6513325227019772
