,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,DecisionTreeClassifier,0,0.7343597412109375,0.6376811594202898,0.7297297297297297,0.53125,0.6428571428571429,0.6296296296296297,0.6835443037974683,0.576271186440678,42,27
1,DecisionTreeClassifier,1,0.7163854241371155,0.7391304347826086,0.8717948717948718,0.5666666666666667,0.723404255319149,0.7727272727272727,0.7906976744186046,0.6538461538461539,47,22
2,DecisionTreeClassifier,2,0.7308782339096069,0.6231884057971014,0.6923076923076923,0.5333333333333333,0.6585365853658537,0.5714285714285714,0.675,0.5517241379310345,41,28
3,DecisionTreeClassifier,3,0.6789791584014893,0.7681159420289855,0.8125,0.6666666666666666,0.8478260869565217,0.6086956521739131,0.8297872340425532,0.6363636363636364,46,23
4,DecisionTreeClassifier,4,0.6749311685562134,0.7101449275362319,0.7380952380952381,0.6666666666666666,0.775,0.6206896551724138,0.7560975609756098,0.6428571428571429,40,29
5,DecisionTreeClassifier,5,0.6224657297134399,0.7246376811594203,0.6744186046511628,0.8076923076923077,0.8529411764705882,0.6,0.7532467532467533,0.6885245901639344,34,35
6,DecisionTreeClassifier,6,0.6143697500228882,0.7536231884057971,0.7419354838709677,0.7631578947368421,0.71875,0.7837837837837838,0.7301587301587301,0.7733333333333333,32,37
7,DecisionTreeClassifier,7,0.6349344849586487,0.7536231884057971,0.75,0.7586206896551724,0.8108108108108109,0.6875,0.7792207792207793,0.7213114754098361,37,32
8,DecisionTreeClassifier,8,0.7193005681037903,0.6521739130434783,0.7586206896551724,0.575,0.5641025641025641,0.7666666666666667,0.6470588235294118,0.6571428571428571,39,30
9,DecisionTreeClassifier,9,0.6270127892494202,0.8088235294117647,0.813953488372093,0.8,0.875,0.7142857142857143,0.8433734939759037,0.7547169811320755,40,28
10,DecisionTreeClassifier,wt_avg,0.6753617048263549,0.7171142369991474,0.7624948417208002,0.676434197972942,0.7462311557788944,0.6769759450171822,0.7505970812700274,0.6711733898555775,,
