,model_name,note,acc,prec,rec,f1sc,mcc
5,ConvNN,0,0.732,0.793,0.727,0.751,0.459
5,ConvNN,1,0.732,0.673,0.725,0.691,0.459
0,ConvNN,wt_avg,0.732,0.741,0.726,0.725,0.459
5,ConvLSTM,0,0.723,0.765,0.721,0.742,0.427
5,ConvLSTM,1,0.723,0.678,0.691,0.666,0.427
0,ConvLSTM,wt_avg,0.723,0.728,0.708,0.709,0.427
5,SVC,0,0.73,0.745,0.827,0.78,0.442
5,SVC,1,0.73,0.744,0.605,0.661,0.442
0,SVC,wt_avg,0.73,0.745,0.731,0.729,0.442
5,LSTM_Feature,0,0.716,0.754,0.746,0.742,0.428
5,LSTM_Feature,1,0.716,0.685,0.669,0.661,0.428
0,LSTM_Feature,wt_avg,0.716,0.725,0.713,0.707,0.428
5,LSTM_Feature,0,0.723,0.766,0.755,0.751,0.435
5,LSTM_Feature,1,0.723,0.654,0.674,0.66,0.435
0,LSTM_Feature,wt_avg,0.723,0.718,0.721,0.712,0.435
5,FeatureMLP,0,0.717,0.738,0.798,0.758,0.414
5,FeatureMLP,1,0.717,0.679,0.59,0.631,0.414
0,FeatureMLP,wt_avg,0.717,0.713,0.709,0.704,0.414
5,RandomForestClassifier,0,0.707,0.729,0.799,0.759,0.39
5,RandomForestClassifier,1,0.707,0.694,0.584,0.628,0.39
0,RandomForestClassifier,wt_avg,0.707,0.714,0.707,0.703,0.39
5,XGBClassifier,0,0.696,0.721,0.786,0.749,0.372
5,XGBClassifier,1,0.696,0.677,0.57,0.614,0.372
0,XGBClassifier,wt_avg,0.696,0.702,0.694,0.691,0.372
5,ZeroR,0,0.562,0.567,1.0,0.715,0.0
5,ZeroR,1,0.562,0.0,0.0,0.0,0.0
0,ZeroR,wt_avg,0.562,0.324,0.571,0.408,0.0
