,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,LSTM,0,0.5601988534132639,0.7458333373069763,0.7708333333333334,0.7380952380952381,0.8028404344193817,0.721056721056721,0.7711711711711713,0.7111111111111111,42,27
1,LSTM,1,0.5286178986231486,0.8125,0.859090909090909,0.38888888888888884,0.8571428571428571,0.393939393939394,0.8578181130648516,0.39061421670117324,47,22
2,LSTM,2,0.6201187968254089,0.5604166686534882,0.6443833943833943,0.4444444444444445,0.7774509803921568,0.18333333333333335,0.6880607315389925,0.2553606237816764,41,28
3,LSTM,3,0.6057698527971903,0.700000007947286,0.6634920634920635,0.8333333333333334,0.9833333333333334,0.3055555555555556,0.7832478632478632,0.4365079365079365,46,23
4,LSTM,4,0.6650193532307943,0.606250007947286,0.5944444444444444,,1.0,0.03508771929824561,0.7372646733111848,0.06349206349206349,40,29
5,LSTM,5,0.6524567405382792,0.606250007947286,,0.5728395061728394,0.1402116402116402,1.0,0.22826086956521738,0.7276422764227642,34,35
6,LSTM,6,0.6970838109652201,0.5958333412806193,0.4812409812409812,0.7818181818181819,0.8417366946778712,0.45555555555555555,0.5945054945054945,0.5734865900383141,32,37
7,LSTM,7,0.6255619128545126,0.606250007947286,0.6287335722819595,0.6666666666666666,0.9166666666666666,0.12184873949579833,0.7329931972789115,0.19595959595959597,37,32
8,LSTM,8,0.6188847621281942,0.6479166746139526,0.7141414141414142,0.6087768440709617,0.5458089668615984,0.768009768009768,0.611111111111111,0.6725701033101412,39,30
9,LSTM,9,0.6039408644040426,0.65625,0.7111111111111111,,0.8111111111111112,0.5119047619047619,0.7285714285714285,0.4688013136288998,40,28
10,LSTM,wt_avg,0.6177652845780054,0.6537500053644181,0.6241940144862013,0.5108884267835822,0.7800609720511085,0.46200066906874865,0.6867314153343932,0.4573377768800687,,
