,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,LSTM_Feature,0,0.49890365203221637,0.7708333333333334,0.8857142857142857,0.7167755991285403,0.6519607843137255,0.8916666666666666,0.7388888888888889,0.7911764705882353,37,35
1,LSTM_Feature,1,0.48518094420433044,0.78125,0.8583959899749374,0.7243589743589745,0.7625000000000001,0.8333333333333334,0.7976968565203859,0.761576354679803,41,31
2,LSTM_Feature,2,0.5891014933586121,0.7291666666666666,0.7836257309941521,0.6294261294261294,0.7755952380952381,0.7573529411764706,0.7678210678210678,0.6331108639228773,38,34
3,LSTM_Feature,3,0.5426864822705587,0.7395833333333334,0.8149509803921569,0.6583333333333333,0.7161654135338346,0.7791375291375292,0.7607769423558898,0.710654288240495,44,28
4,LSTM_Feature,4,0.4224439859390259,0.8333333333333334,0.9076923076923077,0.7340901272789817,0.7959964012595592,0.9055330634278004,0.8460167283696696,0.8046783625730994,38,34
5,LSTM_Feature,5,0.4318816860516866,0.8229166666666666,0.9523809523809524,0.7685185185185185,0.7167755991285403,0.9555555555555556,0.7965260545905707,0.8415736310473152,36,36
6,LSTM_Feature,6,0.6001662214597067,0.7797619104385376,0.6809523809523811,0.9107744107744108,0.8603988603988603,0.7166285278413426,0.7529239766081871,0.7855855855855856,25,46
7,LSTM_Feature,7,0.521276573340098,0.7440476417541504,0.7352941176470589,0.7666666666666666,0.6555555555555556,0.8019607843137254,0.6833333333333332,0.7796296296296296,30,41
8,LSTM_Feature,8,0.4787273307641347,0.7752976417541504,0.7593406593406593,0.8196881091617932,0.7767857142857143,0.7523148148148148,0.762962962962963,0.7738208797032327,34,37
9,LSTM_Feature,9,0.49296265840530396,0.785714308420817,0.8380952380952381,0.7434640522875817,0.7286324786324787,0.8583959899749374,0.7750521083854417,0.7925436957695022,35,36
10,LSTM_Feature,wt_avg,0.5063331027825673,0.776190483570099,0.828527530328471,0.7553741593656325,0.7416486600382556,0.8222872901225505,0.7706985576531518,0.7699568304565251,,
