,model_name,acc,prec,rec,f1sc
15,FeatureMLP,0.588236169219017,0.3983134673005293,0.5133102634924277,0.3969265706889552
14,FeatureMLP,0.5861179286241531,0.305726660276072,0.5366027652082364,0.40627737692026183
2,FeatureMLP,0.5819269472360611,0.3996312180108318,0.5181988228637607,0.43152347040543027
4,FeatureMLP,0.5647603553533554,0.3861891050159888,0.5175274500682155,0.4094858637183958
8,FeatureMLP,0.5501499450206756,0.3487974389839204,0.5317635327366975,0.41895119674654013
7,FeatureMLP,0.5456814593076705,0.3238123131080435,0.5330842651055268,0.38957957303746216
6,FeatureMLP,0.543431606888771,0.42233906729281917,0.5284107688888424,0.4497611665091533
17,FeatureMLP,0.5377131241559983,0.33981640710716743,0.522151608879557,0.3953413404730036
5,FeatureMLP,0.52156793653965,0.32704107984863284,0.5096598076670884,0.3860533541706508
10,FeatureMLP,0.5029951375722885,0.35974269171153944,0.5214946745324116,0.4077816923839699
11,FeatureMLP,0.49952558934688573,0.31179190878114943,0.5049566290973162,0.3682854820550021
19,FeatureMLP,0.49329382300376895,0.3453507509110207,0.5053319108392301,0.38647308024562477
3,FeatureMLP,0.49127081573009496,0.305951140434024,0.4807893171683071,0.34554327215172187
0,FeatureMLP,0.4799578177928924,0.3340283759973488,0.40155143271188276,0.3702585883880083
9,FeatureMLP,0.44757515698671335,0.3134903431822338,0.4356993813775143,0.33317400543155573
16,FeatureMLP,0.4448830327391624,0.30212100576463935,0.4596820572043079,0.35496333593793994
18,FeatureMLP,0.4434796839952469,0.20427791405137474,0.45422991244884214,0.27775181917376296
12,FeatureMLP,0.4406095275282859,0.20863003982514422,0.4632155623478216,0.28414418720634965
1,FeatureMLP,0.42938071280717843,0.2665543141064317,0.4865095539461673,0.3172103024224975
13,FeatureMLP,0.39184129297733306,0.3157576882773452,0.396106770686322,0.3210930074747803
