,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,RandomForestClassifier,0,0.650884747505188,0.8115942028985508,0.9142857142857143,0.7058823529411765,0.7619047619047619,0.8888888888888888,0.8311688311688312,0.7868852459016393,42,27
1,RandomForestClassifier,1,0.683918297290802,0.7971014492753623,0.9024390243902439,0.6428571428571429,0.7872340425531915,0.8181818181818182,0.8409090909090909,0.72,47,22
2,RandomForestClassifier,2,0.6499935388565063,0.7536231884057971,0.75,0.7619047619047619,0.8780487804878049,0.5714285714285714,0.8089887640449438,0.6530612244897959,41,28
3,RandomForestClassifier,3,0.6320193409919739,0.855072463768116,0.86,0.8421052631578947,0.9347826086956522,0.6956521739130435,0.8958333333333334,0.7619047619047619,46,23
4,RandomForestClassifier,4,0.6679679155349731,0.7101449275362319,0.717391304347826,0.6956521739130435,0.825,0.5517241379310345,0.7674418604651163,0.6153846153846154,40,29
5,RandomForestClassifier,5,0.5679762363433838,0.8405797101449275,0.7804878048780488,0.9285714285714286,0.9411764705882353,0.7428571428571429,0.8533333333333334,0.8253968253968254,34,35
6,RandomForestClassifier,6,0.6094305515289307,0.7391304347826086,0.6842105263157895,0.8064516129032258,0.8125,0.6756756756756757,0.7428571428571429,0.7352941176470589,32,37
7,RandomForestClassifier,7,0.6134785413742065,0.782608695652174,0.75,0.84,0.8918918918918919,0.65625,0.8148148148148148,0.7368421052631579,37,32
8,RandomForestClassifier,8,0.6294289231300354,0.7971014492753623,0.8205128205128205,0.7666666666666667,0.8205128205128205,0.7666666666666667,0.8205128205128205,0.7666666666666667,39,30
9,RandomForestClassifier,9,0.6158396601676941,0.8382352941176471,0.8536585365853658,0.8148148148148148,0.875,0.7857142857142857,0.8641975308641975,0.8,40,28
10,RandomForestClassifier,wt_avg,0.6320937752723694,0.7925191815856777,0.8094169597779599,0.7873225862334922,0.8517587939698492,0.711340206185567,0.8266511973544644,0.7416333261349589,,
