,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,XGBClassifier,0,0.601872444152832,0.8333333333333334,0.8571428571428571,0.8108108108108109,0.8108108108108109,0.8571428571428571,0.8333333333333334,0.8333333333333334,37,35
1,XGBClassifier,1,0.6118168234825134,0.8333333333333334,0.8085106382978723,0.88,0.926829268292683,0.7096774193548387,0.8636363636363636,0.7857142857142857,41,31
2,XGBClassifier,2,0.6183382272720337,0.8194444444444444,0.8048780487804879,0.8387096774193549,0.868421052631579,0.7647058823529411,0.8354430379746836,0.8,38,34
3,XGBClassifier,3,0.6806777715682983,0.7361111111111112,0.8571428571428571,0.6216216216216216,0.6818181818181818,0.8214285714285714,0.759493670886076,0.7076923076923077,44,28
4,XGBClassifier,4,0.6095234155654907,0.8055555555555556,0.8529411764705882,0.7631578947368421,0.7631578947368421,0.8529411764705882,0.8055555555555556,0.8055555555555556,38,34
5,XGBClassifier,5,0.6055601239204407,0.7916666666666666,0.8181818181818182,0.7692307692307693,0.75,0.8333333333333334,0.782608695652174,0.8,36,36
6,XGBClassifier,6,0.5281310677528381,0.8169014084507042,0.6666666666666666,0.9714285714285714,0.96,0.7391304347826086,0.7868852459016393,0.8395061728395061,25,46
7,XGBClassifier,7,0.632524847984314,0.676056338028169,0.64,0.6956521739130435,0.5333333333333333,0.7804878048780488,0.5818181818181818,0.735632183908046,30,41
8,XGBClassifier,8,0.5940072536468506,0.7887323943661971,0.7435897435897436,0.84375,0.8529411764705882,0.7297297297297297,0.7945205479452054,0.782608695652174,34,37
9,XGBClassifier,9,0.5797984600067139,0.8450704225352113,0.8157894736842105,0.8787878787878788,0.8857142857142857,0.8055555555555556,0.8493150684931506,0.8405797101449275,35,36
10,XGBClassifier,wt_avg,0.6062250435352325,0.7946205007824726,0.7953366847501001,0.8136373072120526,0.8016759776536313,0.7877094972067039,0.793459240191404,0.7953175358192124,,
